filepath,category,word_count
Economics/doc_0001.txt,Economics,86
Economics/doc_0002.txt,Economics,100
Economics/doc_0003.txt,Economics,143
Economics/doc_0004.txt,Economics,92
Economics/doc_0005.txt,Economics,86
Economics/doc_0006.txt,Economics,109
Economics/doc_0007.txt,Economics,119
Economics/doc_0008.txt,Economics,96
Economics/doc_0009.txt,Economics,177
Economics/doc_0010.txt,Economics,147
Economics/doc_0011.txt,Economics,140
Economics/doc_0012.txt,Economics,119
Economics/doc_0013.txt,Economics,151
Economics/doc_0014.txt,Economics,152
Economics/doc_0015.txt,Economics,154
Economics/doc_0016.txt,Economics,129
Economics/doc_0017.txt,Economics,136
Economics/doc_0018.txt,Economics,139
Economics/doc_0019.txt,Economics,154
Economics/doc_0020.txt,Economics,111
Economics/doc_0021.txt,Economics,142
Economics/doc_0022.txt,Economics,130
Economics/doc_0023.txt,Economics,139
Economics/doc_0024.txt,Economics,151
Economics/doc_0025.txt,Economics,113
Economics/doc_0026.txt,Economics,149
Economics/doc_0027.txt,Economics,104
Economics/doc_0028.txt,Economics,101
Economics/doc_0029.txt,Economics,90
Economics/doc_0030.txt,Economics,120
Economics/doc_0031.txt,Economics,96
Economics/doc_0032.txt,Economics,150
Economics/doc_0033.txt,Economics,110
Economics/doc_0034.txt,Economics,130
Economics/doc_0035.txt,Economics,97
Economics/doc_0036.txt,Economics,143
Economics/doc_0037.txt,Economics,149
Economics/doc_0038.txt,Economics,110
Economics/doc_0039.txt,Economics,92
Economics/doc_0040.txt,Economics,155
Economics/doc_0041.txt,Economics,152
Economics/doc_0042.txt,Economics,133
Economics/doc_0043.txt,Economics,128
Economics/doc_0044.txt,Economics,96
Economics/doc_0045.txt,Economics,118
Economics/doc_0046.txt,Economics,158
Economics/doc_0047.txt,Economics,95
Economics/doc_0048.txt,Economics,153
Economics/doc_0049.txt,Economics,159
Economics/doc_0050.txt,Economics,148
Economics/doc_0051.txt,Economics,120
Economics/doc_0052.txt,Economics,142
Economics/doc_0053.txt,Economics,163
Economics/doc_0054.txt,Economics,157
Economics/doc_0055.txt,Economics,80
Economics/doc_0056.txt,Economics,147
Economics/doc_0057.txt,Economics,134
Economics/doc_0058.txt,Economics,118
Economics/doc_0059.txt,Economics,102
Economics/doc_0060.txt,Economics,95
Economics/doc_0061.txt,Economics,140
Economics/doc_0062.txt,Economics,117
Economics/doc_0063.txt,Economics,115
Economics/doc_0064.txt,Economics,113
Economics/doc_0065.txt,Economics,97
Economics/doc_0066.txt,Economics,83
Economics/doc_0067.txt,Economics,150
Economics/doc_0068.txt,Economics,166
Economics/doc_0069.txt,Economics,97
Economics/doc_0070.txt,Economics,146
Economics/doc_0071.txt,Economics,113
Economics/doc_0072.txt,Economics,133
Economics/doc_0073.txt,Economics,155
Economics/doc_0074.txt,Economics,103
Economics/doc_0075.txt,Economics,115
Economics/doc_0076.txt,Economics,97
Economics/doc_0077.txt,Economics,124
Economics/doc_0078.txt,Economics,99
Economics/doc_0079.txt,Economics,90
Economics/doc_0080.txt,Economics,94
Economics/doc_0081.txt,Economics,129
Economics/doc_0082.txt,Economics,164
Economics/doc_0083.txt,Economics,131
Economics/doc_0084.txt,Economics,139
Economics/doc_0085.txt,Economics,148
Economics/doc_0086.txt,Economics,132
Economics/doc_0087.txt,Economics,80
Economics/doc_0088.txt,Economics,104
Economics/doc_0089.txt,Economics,156
Economics/doc_0090.txt,Economics,127
Economics/doc_0091.txt,Economics,134
Economics/doc_0092.txt,Economics,147
Economics/doc_0093.txt,Economics,105
Economics/doc_0094.txt,Economics,103
Economics/doc_0095.txt,Economics,141
Economics/doc_0096.txt,Economics,135
Economics/doc_0097.txt,Economics,110
Economics/doc_0098.txt,Economics,113
Economics/doc_0099.txt,Economics,115
Economics/doc_0100.txt,Economics,98
Economics/doc_0101.txt,Economics,115
Economics/doc_0102.txt,Economics,123
Economics/doc_0103.txt,Economics,106
Economics/doc_0104.txt,Economics,160
Economics/doc_0105.txt,Economics,157
Economics/doc_0106.txt,Economics,142
Economics/doc_0107.txt,Economics,164
Economics/doc_0108.txt,Economics,142
Economics/doc_0109.txt,Economics,136
Economics/doc_0110.txt,Economics,139
Economics/doc_0111.txt,Economics,148
Economics/doc_0112.txt,Economics,156
Economics/doc_0113.txt,Economics,116
Economics/doc_0114.txt,Economics,109
Economics/doc_0115.txt,Economics,124
Economics/doc_0116.txt,Economics,133
Economics/doc_0117.txt,Economics,94
Economics/doc_0118.txt,Economics,93
Economics/doc_0119.txt,Economics,156
Economics/doc_0120.txt,Economics,120
Economics/doc_0121.txt,Economics,93
Economics/doc_0122.txt,Economics,114
Economics/doc_0123.txt,Economics,88
Economics/doc_0124.txt,Economics,91
Economics/doc_0125.txt,Economics,109
Economics/doc_0126.txt,Economics,148
Economics/doc_0127.txt,Economics,87
Economics/doc_0128.txt,Economics,112
Economics/doc_0129.txt,Economics,87
Economics/doc_0130.txt,Economics,135
Economics/doc_0131.txt,Economics,100
Economics/doc_0132.txt,Economics,81
Economics/doc_0133.txt,Economics,130
Economics/doc_0134.txt,Economics,124
Economics/doc_0135.txt,Economics,121
Economics/doc_0136.txt,Economics,116
Economics/doc_0137.txt,Economics,127
Economics/doc_0138.txt,Economics,151
Economics/doc_0139.txt,Economics,157
Economics/doc_0140.txt,Economics,149
Economics/doc_0141.txt,Economics,164
Economics/doc_0142.txt,Economics,156
Economics/doc_0143.txt,Economics,129
